English	Spanish
I don't like to cook when it's hot outside.	No me gusta cocinar cuando hace demasiado calor.
Catch me if you can.	Atrápame si puedes.
I abhor violence.	Aborrezco la violencia.
I will give these tickets to whoever wants them.	Le daré estos boletos a quienquiera que los quiera.
I promised him to keep it secret.	Le prometí mantenerlo en secreto.
You are taller than me.	Eres más alto que yo.
Tom is the only boy Mary knows who is afraid of rabbits.	Tom es el único chico que Mary conoce que le tiene miedo a los conejos.
Tom built his own house.	Tom construyó su propia casa.
Tom is the president of the local astronomy club.	Tom es el presidente del club de astronomía local.
I don't want to hear that.	No quiero escuchar eso.
This is how we cook rice.	Así es como cocinamos arroz.
Tom was happy.	Tom estaba feliz.
The cost amounted to twelve pesos.	El gasto llegó a doce pesos.
Let's play soccer.	¡Vamos a jugar al fútbol!
Who gave you permission to do this?	¿Quién te ha dejado hacer esto?
You can come in if and only if you know our password.	Puedes entrar solamente si conoces nuestra contraseña.
I'll come back Monday.	Volveré el lunes.
He offered his seat to an old woman.	Cedió su asiento a una anciana.
I have neither time nor money.	No tengo tiempo ni dinero.
Tom walked across the street.	Tom cruzó la calle.
How much is this radio?	¿Cuánto cuesta este radio?
Tom woke up feeling grumpy.	Tom se despertó malhumorado.
Did you put a stamp on the envelope?	¿Pusiste una estampilla en el sobre?
Tom was really glad to hear that Mary hadn't been injured in the accident.	Tom se alegró mucho de saber que Mary no había sido herida en el accidente.
He was accused of theft.	Fue acusado de robo.
I don't like to sing.	No me gusta cantar.
I wish our classroom were air-conditioned.	Ojalá nuestra clase tuviera aire acondicionado.
Nobody knows why he turns down my help.	Nadie sabe por qué rechaza mi ayuda.
I'd like to know why you didn't finish your homework on time.	Quisiera saber por qué no hiciste tu tarea a tiempo.
I want to speak to Tom alone.	Quiero hablar con Tom a solas.
Tom heard someone humming his favorite tune.	Tom oyó a alguien tararear su melodía favorita.
Tom lives in the room above us.	Tom vive en la habitación encima de la nuestra.
I own a computer.	Tengo una computadora.
Why are people always so cynical?	¿Por qué la gente es siempre tan cínica?
What would you do in this situation?	¿Qué harías en esta situación?
It seemed that Tom was hiding something.	Parecía que Tom estaba escondiendo algo.
There's no evidence that Tom has done anything illegal.	No hay evidencia de que Tom haya hecho nada ilegal.
Can she come in time?	¿Ella puede ser puntual?
Try not to worry.	Intentad no preocuparos.
My sweater shrank in the wash.	Mi suéter encogió al lavarlo.
What do you remember?	¿Qué recuerdas?
Tom felt he had no chance to win the race.	Tom sentía que no tenía chances de ganar la carrera.
That is essential.	Eso es indispensable.
I played video games after I finished my homework.	Yo jugué videojuegos después de terminar mi tarea.
Nobody says you can't go fishing.	Nadie dice que no podés ir a pescar.
My success was due to your help.	Mi éxito se debió a tu ayuda.
He told me an interesting story.	Me contó una historia interesante.
Where are we exactly?	¿En dónde exactamente estamos?
He was too drunk to drive home.	Él estaba demasiado borracho para conducir hasta casa.
I'm glad you enjoy skiing, but I guess it's just not my cup of tea.	Me alegra que disfrutes esquiando, pero supongo que tan solo no es lo mío.
The small island came into sight.	La pequeña isla llegó a la vista.
I have to go to Boston.	Tengo que ir a Boston.
Let him play your guitar.	Déjalo que toque tu guitarra.
Are there any students from Korea in your class?	¿Hay estudiantes de Corea en tu curso?
It is a little late for that now.	Ya es un poco tarde para eso.
Never put off to tomorrow what you can do today.	No dejes para mañana lo que puedes hacer hoy.
Our sales are decreasing.	Nuestras ventas están cayendo.
I'm happy to have been proven wrong.	Me alegra haber sido desmentido.
How many people live in Australia?	¿Cuánta gente vive en Australia?
He plants sunflowers in the spring.	Él planta girasoles en la primavera.
Let the bird fly away.	Deja ir al pájaro.
Stay where you are.	Quedaos donde estáis.
She'll try it once more.	Seguramente ella lo intentará otra vez.
I am getting off at the next station.	Me bajo en la siguiente estación.
I can win this time.	Puedo ganar esta vez.
Tom came close.	Tom se acercó.
She must have done it yesterday.	Debe de haberlo hecho ayer.
Don't blame me for this.	No me culpes por eso.
We remember.	Nos acordamos.
I'm a little bummed.	Estoy algo decepcionado.
Tom is a rock and roll star.	Tom es una estrella del rock and roll.
What if someone killed Tom? What would you do?	¿Y si alguien matara a Tom? ¿Qué harías?
We demanded a recount.	Exigimos un recuento.
Could you pass me the salt, please?	¿Me podrías pasar la sal, por favor?
I don't like guys like Tom.	No me gustan los hombres que son como Tomás.
We want to talk to you about a problem.	Queremos hablar con usted acerca de un problema.
Why are you angry with me?	¿Por qué estáis enfadadas conmigo?
Can I see them?	¿Me deja verles?
I want to get even with him for the insult.	Yo quiero hacerle pagar el insulto.
What was Tom talking about?	¿De qué estaba hablando Tom?
We are digging a well in the backyard.	Estamos cavando un pozo en el patio.
How did it go last night?	¿Qué tal anoche?
She looks like her mother.	Ella se parece a su madre.
He is entitled to receive the reward.	Él es apto para recibir el premio.
I want a good dictionary.	Quiero un buen diccionario.
My hands are shaking.	Mis manos están temblando.
You know I'm wrong.	Tú sabes que no tengo la razón.
They were all so tired that they could do nothing but yawn.	Todos estaban tan cansados que no hacían más que bostezar.
I can't go with you because I'm very busy.	No puedo ir contigo porque estoy muy ocupado.
Who's been helping you?	¿Quién te ha estado ayudando?
Have you ever sharpened this knife?	¿Has afilado alguna vez este cuchillo?
Tom has a tendency to ramble.	Tom tiene tendencia a divagar.
The hummingbird is the smallest bird in the world.	El colibrí es el ave más pequeña del mundo.
You know that.	Tú lo sabes.
We plan to invite both Tom and Mary.	Planeamos invitar tanto a Tom como a Mary.
I'd like to learn French.	Me gustaría aprender francés.
Who is the man that you were talking with?	¿Quién es el hombre con quien estabas hablando?
Your conduct is absolutely shameful.	Tu conducta es absolutamente vergonzosa.
Please don't use French.	Por favor, no hablen en francés.
You seem to be bored.	Pareces estar aburrido.
Tom's letters stopped coming.	Dejaron de llegar cartas de Tom.
She missed him a lot.	Ella le echaba mucho de menos.
The party was in full swing when he left.	La fiesta estaba en pleno apogeo cuando él se marchó.
Do you still want tea?	¿Todavía quieres el té?
This is the first time I've written anything in French.	Esta es la primera vez que he escrito algo en francés.
I don't like myself.	No me gusto a mí mismo.
I want to hear the whole story, and don't skip any details.	Deseo oír la historia completa, y no se salte ningún detalle.
I arrived two weeks ago.	Hace dos semanas que llegué.
I can come with you if you want me to.	Yo puedo ir con vosotras si es lo que queréis.
Where are you?	¿Dónde están?
I left it at school.	Lo dejé en la escuela.
I'm very proud of our company.	Estoy muy orgullosa de nuestra empresa.
I can fix it.	Yo puedo arreglarlo.
There was a half-eaten apple near the kitchen sink.	Había una manzana a medio comer cerca del fregadero.
I'd rather have tea instead of coffee.	Me gustaría tomar té en lugar de café.
Stop saying that.	Deja de decir eso.
My mother was crying.	Mi madre estaba llorando.
I can't hear you very well.	No te puedo oír muy bien.
I study music at a university in Boston.	Estudio música en la universidad de Boston.
We met today.	Nos vimos hoy.
Tom is three months behind in paying his rent.	Tom está tres meses atrasado en el pago del alquiler.
My mouth was dry.	Mi boca estaba seca.
I prefer biking.	Prefiero ir en bicicleta.
No one could solve the puzzle.	Nadie pudo resolver el rompecabezas.
I don't want to stay here.	No quiero quedarme acá.
They're rich.	Son ricas.
Personal computers are very useful.	Los ordenadores personales son muy útiles.
This pigeon flew from San Francisco to New York.	Esta paloma voló de San Francisco a Nueva York.
Tom died alone.	Tom murió solo.
I had a lot of fun.	Me divertí mucho.
We'd like that.	Eso nos gustaría.
It cannot last long.	No puede durar mucho.
I am studying kanji.	Estoy estudiando kanji.
I want to go to college.	Quiero ir a la universidad.
He stopped smoking and started running.	Dejó de fumar y empezó a correr.
This is a new model.	Este es un modelo nuevo.
It took me several hours to open it.	Me tomó varias horas abrirlo.
He extended many courtesies to me.	Me hizo muchas finezas.
He's a bit naive.	Él es un poco ingenuo.
Your hands are cold.	Tus manos están frías.
The automobile company laid off 300 workers.	La compañía de automóviles despidió a 300 trabajadores.
I eat only fresh vegetables.	Yo solo como verduras frescas.
I'm doubtful.	Estoy dubitativo.
You're a bit taller than I am, aren't you?	Usted es un poco más alto que yo ¿no?
We should've warned Tom of the danger.	Le deberíamos haber advertido a Tom del peligro.
Have you finished reading that book yet?	¿Ya terminaste de leer ese libro?
No one succeeds in the world without effort.	Nadie tiene éxito en el mundo sin esfuerzo.
It is right up his alley.	Está derecho por este callejón.
Start writing.	Empieza a escribir.
We protested, but it was in vain.	Protestamos, pero fue en vano.
On second thought, I think I will have a slice of that pie.	Ahora que lo pienso, creo que me tomaré un trozo de esa tarta.
It's too big.	Es demasiado grande.
I got a cramp in my leg while swimming.	Me dio un calambre en la pierna mientras nadaba.
Tom suggested that I accompany Mary to the party.	Tom sugirió que acompañara a Mary a la fiesta.
Do it right now.	Hazlo ahoritita.
Investigate the cause of it.	Investigue usted cuál es la causa.
I bought shampoo and toothpaste.	Compré champú y dentífrico.
What a disaster!	¡Qué desastre!
The twins helped.	Los gemelos ayudaron.
He's afraid of making mistakes.	Él tiene miedo de cometer errores.
Those glasses suit you.	Esos lentes te quedan bien.
I'm not going to answer that question.	No voy a responder esa pregunta.
Look again.	Mira de nuevo.
Going up?	¿Subes?
Tom helps Mary because he wants to, not because he has to.	Tom ayuda a Mary porque quiere, no porque tenga que hacerlo.
